"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1993","LANDSLIDE",43,0,515,5509,0,0,20
"1993","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1993","ROCKSLIDE",10,0,139,933,0,0,27
"1994","AVALANCHE",1,0,0,0,0,0,3
"1994","AVIATION ACCIDENT",1,57,0,0,0,5700,4
"1994","FIRE",14,0,146,0,0,0,11
"1994","FLOOD",2,0,17,152,0,0,12
"1994","FOREST FIRE",168,0,0,0,1812078587,0,14
"1994","HEAVY RAIN",1,0,0,0,0,0,18
"1994","LANDSLIDE",7,0,62,319,0,0,20
"1994","ROCKSLIDE",10,0,131,630,0,0,27
"1994","TRAIN ACCIDENT",1,0,0,0,0,0,35
"1995","AVALANCHE",2,0,16,266,0,0,3
"1995","DROWNING",3,1,0,0,0,33,7
"1995","EARTHQUAKE",1,94,37404,0,1812078587,9400,8
"1995","FIRE",17,0,246,0,0,0,11
"1995","FLOOD",4,0,135,918,0,0,12
"1995","FOREST FIRE",37,0,0,0,1812078587,0,14
"1995","LANDSLIDE",22,0,150,740,0,0,20
"1995","MINING ACCIDENTS",1,40,0,0,0,4000,22
"1995","MUDSLIDE",1,74,138,0,0,7400,23
"1995","ROCKSLIDE",5,0,138,665,0,0,27
"1996","AVALANCHE",1,0,19,136,0,0,3
"1996","EARTHQUAKE",2,0,3576,1394,0,0,8
"1996","FIRE",8,0,59,0,0,0,11
"1996","FLOOD",3,0,172,1108,0,0,12
"1996","FOREST FIRE",33,0,0,0,1812078587,0,14
"1996","LANDSLIDE",16,0,164,849,0,0,20
"1996","ROCKSLIDE",8,0,97,554,0,0,27
"1996","TRAFFIC ACCIDENT",6,74,0,0,0,1233,34
"1997","AVALANCHE",1,0,0,20,0,0,3
"1997","EARTHQUAKE",2,0,3585,876,0,0,8
"1997","FIRE",14,0,141,0,0,0,11
"1997","FLOOD",4,5,49,229,0,125,12
"1997","FOREST FIRE",18,0,0,0,1812078587,0,14
"1997","LANDSLIDE",13,5,125,533,0,38,20
"1997","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1997","OTHER",1,3,2412,0,1812078587,300,25
"1997","ROCKSLIDE",5,5,49,213,0,100,27
"1997","TRAFFIC ACCIDENT",8,157,0,0,0,1962,34
"1998","AVALANCHE",3,0,0,230,0,0,3
"1998","EARTHQUAKE",4,149,84075,0,0,3725,8
"1998","FIRE",12,18,85,0,0,150,11
"1998","FLOOD",2,0,3424,43470,0,0,12
"1998","FOREST FIRE",43,0,0,0,1812078587,0,14
"1998","HEAVY RAIN",1,0,108,0,0,0,18
"1998","LANDSLIDE",22,43,536,1841,0,195,20
"1998","ROCKSLIDE",3,0,36,166,0,0,27
"1998","TRAFFIC ACCIDENT",5,82,0,0,0,1640,34
"1999","AVALANCHE",1,0,0,168,0,0,3
