Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
2013,LANDSLIDE,2,2,2,0,2,2,0,0
2013,MARINE ACCIDENT,1,10,0,0,0,0,0,0
2013,RAINS,2,1,40,0,56,210,4716.8317,8193000
2013,Strong winds,3,0,0,7,197,218,21377.984,34253916.3
2013,STRUCTURAL COLLAPSE,1,39,0,0,0,0,0,0
2014,DROUGHT,1,0,0,0,0,0,0,0
2014,EARTHQUAKE,1,0,0,0,0,0,8554.3837,14000000
2014,EXPLOSION,1,7,0,0,0,0,0,0
2014,FIRE,1,0,78,0,78,78,81390.6719,137902700
2014,FLOOD,19,23,1481,2074,8339,82020,925489.2759,2368705200
2014,HAILSTORM,5,0,0,32,34,158,7052.63,12198000
2014,HEAVY RAINFALL & STRONG WINDS,1,0,0,124,4468,4468,0,0
2014,MARINE ACCIDENT,2,8,0,0,0,19,0,0
2014,PLANT DISEASE,1,0,0,0,166,166,2517380,4526250000
2014,RAINS,10,0,97,81,518,1196,848836.3096,317988810
2014,Strong winds,3,0,0,31,30,60,13037.377,98502100
2014,WILD ANIMALS,2,0,0,3500,18000,96800,0,0
2015,DROUGHT,1,0,0,0,0,0,0,0
2015,EARTHQUAKE,1,0,0,0,0,0,0,0
2015,EPIDEMIC,1,2,0,0,87,87,0,0
2015,FIRE,5,0,0,2,345,295,9841.3104,5198000
2015,FLOOD,24,33,488,2268,101230,123797,6988606.517,12682486197
2015,fungal toxins,1,11,0,0,57,57,9264.89,17100000
2015,HAILSTORM,1,0,0,0,0,0,0,0
2015,HEAVY RAINFALL & STRONG WINDS,2,0,4,292,380,1105,0,0
2015,INSECT INFESTATION,1,0,0,0,0,6437,0,0
2015,PEST INFESTATION,1,0,0,2200,8800,11000,0,0
2015,RAINS,13,0,507,166,2324,3255,7097541.148,42765000
2015,STORM,1,47,0,634,0,3500,0,0
2015,Strong winds,10,1,135,539,1537,2137,53659.4637,107501800
2015,WINDSTORM,1,0,0,0,0,0,0,0
2016,DROUGHT,2,0,0,0,0,35380,337289.9,738800000
2016,EARTHQUAKE,2,17,2072,24056,120280,130640,8247.19,18000000
2016,FIRE,26,1,0,3,174,174,15373649.66,9834818726
2016,FLOOD,40,13,682,4437,5440,70267,1663922.612,7585941080
2016,HUNGER/FAMINE,1,0,0,0,225642,225642,0,0
2016,Lightning,4,0,0,0,5,5,23976.981,43040000
2016,MARINE ACCIDENT,1,3,0,0,3,5,0,0
2016,MINE ACCIDENT,1,0,0,0,3,3,0,0
2016,PEST INFESTATION,2,0,1400,0,4832,9010,2633.182,5734400
2016,RAINS,18,2,223,225,2506,3610,279103.1646,630692000
2016,RATE IN FIELD,1,0,0,0,0,0,1248.0928,2780000
2016,Strong winds,8,0,22,50,163,274,18308.7577,39892500
2016,STRUCTURAL COLLAPSE,3,0,5,81,264,280,8666.3683,18894290
2016,WILD ANIMALS,1,1,0,0,0,0,552.5408,1200000
2016,WINDSTORM,2,0,0,38,170,170,0,0
2017,ACCIDENT,1,0,0,0,123,123,2686.8837,6000000
2017,ACCIDENTS,1,1,0,0,1,1,0,0
2017,DROUGHT,1,0,0,0,1045,1045,232107.1242,519300000
2017,EARTHQUAKE,1,1,0,0,0,0,0,0
2017,EPIDEMIC,1,1,0,36,78,180,0,0
2017,EXPLOSION,1,5,0,0,0,0,0,0
2017,FIRE,10,0,1,4,36,40,36981.7492,764626870
2017,FLOOD,14,21,610,7229,18070,35978,4831.3999,10781500
2017,MINE ACCIDENT,1,4,0,0,0,0,0,0
2017,RAINS,12,2,43,404,632,1392,4478.1396,10000000
2017,RATE IN FIELD,1,0,0,0,2351,2351,0,0
2017,Strong winds,9,0,50,94,423,667,100316.3519,1952833516
2017,STRUCTURAL COLLAPSE,10,1,8,66,186,387,12798.8703,28606950
2017,VERMIN INFESTATION,1,0,0,0,0,0,0,0
2017,WINDSTORM,8,0,30,630,450,479,0,0
2018,ACCIDENTS,1,2,0,0,1,1,0,0
2018,EPIDEMIC,23,85,0,0,4647,4647,0,0
2018,FIRE,11,0,469,1,2444,2444,2647.8291,5950000
2018,FLOOD,52,108,1412,13680,22485,37646,861855.9644,1946496350
2018,HOUSE FIRE ACCIDENT,1,0,0,0,0,0,1253.64,2882500
2018,LANDSLIDE,1,0,18,25,215,215,0,0
2018,Lightning,2,7,0,0,27,4,0,0
2018,MARINE ACCIDENT,1,227,0,0,0,0,0,0
2018,RAINS,20,7,560,269,5245,6361,21022.4295,78928250
