Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1995,Drowning,3,1,0,0,0,0,0,0
1995,Earthquake,1,94,0,37404,0,0,0,1E+13
1995,Fire,17,0,6,240,0,0,0,0
1995,Flood,4,0,0,135,0,918,0,0
1995,Forest fire,37,0,0,0,0,0,0,81786307323
1995,Landslide,22,0,0,150,0,740,0,0
1995,Mining accidents,1,40,0,0,0,0,0,0
1995,Mudslide,1,74,0,138,0,0,0,0
1995,Rockslide,5,0,0,138,0,665,0,0
1996,Avalanche,1,0,0,19,0,136,0,0
1996,Earthquake,2,0,0,3576,0,1394,0,0
1996,Fire,8,0,0,59,0,0,0,0
1996,Flood,3,0,0,172,0,1108,0,0
1996,Forest fire,33,0,0,0,0,0,0,1.40213E+11
1996,Landslide,16,0,12,152,0,849,0,0
1996,Rockslide,8,0,0,97,0,554,0,0
1996,Traffic accident,6,74,0,0,0,0,0,0
1997,Avalanche,1,0,0,0,0,20,0,0
1997,Earthquake,2,0,0,3585,0,876,0,0
1997,Fire,14,0,0,141,0,0,0,0
1997,Flood,4,5,0,49,0,229,0,0
1997,Forest fire,18,0,0,0,0,0,0,4.20843E+11
1997,Landslide,13,5,12,113,0,533,0,0
1997,Nuclear accidents,1,0,0,0,0,0,0,0
1997,Other,1,3,0,2412,0,0,0,4.99934E+11
1997,Rockslide,5,5,1,48,0,213,0,0
1997,Traffic accident,8,157,0,0,0,0,0,0
1998,Avalanche,3,0,0,0,0,230,0,0
1998,Earthquake,4,149,0,84075,0,0,0,0
1998,Fire,12,18,0,85,0,0,0,0
1998,Flood,2,0,0,3424,0,43470,0,0
1998,Forest fire,43,0,0,0,0,0,0,1.0906E+12
1998,Heavy rain,1,0,0,108,0,0,0,0
1998,Landslide,22,43,3,533,0,1841,0,0
1998,Rockslide,3,0,0,36,0,166,0,0
1998,Traffic accident,5,82,0,0,0,0,0,0
1999,Avalanche,1,0,0,0,0,168,0,0
1999,Earthquake,4,18243,0,377879,0,15901844,10000000000,0
1999,Fire,5,0,0,28,0,0,0,0
1999,Flood,3,4,0,246,0,221,0,0
1999,Forest fire,27,0,0,0,0,0,0,7.42692E+11
1999,Heavy rain,5,0,0,231,0,0,0,0
1999,Landslide,15,0,1,202,0,986,0,0
1999,Nuclear accidents,1,0,0,0,0,0,0,0
1999,Rockslide,3,0,0,40,0,155,0,0
1999,Traffic accident,12,140,0,0,0,0,0,0
2000,Avalanche,2,0,0,34,0,170,0,0
2000,Earthquake,4,18,0,8846,0,0,0,0
2000,Fire,14,2,0,214,0,0,0,0
2000,Flood,1,0,0,6,0,40,0,0
2000,Forest fire,99,0,0,0,0,0,0,1.69956E+13
2000,Heavy rain,2,0,0,351,0,0,0,0
2000,Landslide,15,0,0,363,0,1891,0,0
2000,Nuclear accidents,2,0,0,0,0,0,0,0
2000,Rockslide,3,0,0,41,0,249,0,0
2000,Traffic accident,7,87,0,0,0,38,0,34000
2001,Draught,14,0,0,0,0,3265,0,0
2001,Fire,19,3,0,190,0,65,0,0
2001,Fog,6,0,0,0,0,0,0,0
2001,Forest fire,77,0,0,0,0,0,0,5.8928E+12
2001,Frost,4,0,0,0,0,0,0,0
2001,Hail,21,0,0,0,0,157,0,0
2001,Landslide,9,0,13,106,0,544,0,0
2001,Rockslide,8,0,0,155,0,532,0,0
2001,Storm,1,0,0,0,0,0,0,0
2002,Avalanche,11,12,1,38,0,442,0,0
2002,Earthquake,1,42,0,18268,0,0,0,0
2002,Fire,8,2,0,65,0,0,0,0
2002,Flood,3,1,13,32,0,189,0,2.1E+13
2002,Fog,3,0,0,0,0,0,0,0
2002,Forest fire,25,0,0,0,0,0,0,6.47949E+11
2002,Frost,3,0,0,0,0,0,0,0
2002,Hail,19,0,0,0,0,148,0,0
2002,Landslide,12,20,2,124,0,1047,0,0
2002,Nuclear accidents,1,0,0,0,0,0,0,0
2002,Rockslide,3,0,0,21,0,99,0,0
2002,Traffic accident,4,55,0,0,0,18,0,5000
2003,Avalanche,27,13,0,0,0,1099,0,0
2003,Aviation accident,2,150,0,0,0,0,0,0
2003,Draught,1,0,0,0,0,604,0,0
2003,Earthquake,9,185,0,29195,0,0,0,0
2003,Fire,2,1,0,10,0,0,0,0
2003,Flood,3,0,0,65,0,717,0,0
2003,Forest fire,49,0,0,0,0,0,0,9.44531E+12
2003,Frost,8,0,0,0,0,4780,0,0
2003,Hail,8,0,0,0,0,0,0,0
2003,Landslide,21,0,7,308,0,755,0,0
2003,Maritime disaster,1,12,0,0,0,0,0,0
2003,Mining accidents,1,10,0,0,0,0,0,0
2003,Nuclear accidents,2,0,0,0,0,0,0,0
2003,Rockslide,10,0,4,169,0,940,0,0
2003,Traffic accident,7,120,0,0,0,39,0,19500
2004,Avalanche,16,22,4,31,0,666,0,0
2004,Draught,6,0,0,0,0,0,0,0
2004,Earthquake,9,32,0,6440,0,0,0,0
2004,Fire,10,3,57,457,0,0,0,1E+12
2004,Flood,9,7,0,194,0,998,0,0
2004,Fog,2,0,0,0,0,0,0,0
2004,Forest fire,31,0,0,0,0,0,0,2.80418E+13
2004,Frost,34,0,0,0,0,0,0,0
2004,Hail,41,0,0,0,0,536,0,0
2004,Landslide,19,1,39,708,0,563,0,0
2004,Maritime disaster,1,19,0,0,0,0,0,0
2004,Mining accidents,1,19,0,0,0,0,0,0
2004,Other,1,92,0,0,0,0,0,0
2004,Rockslide,9,7,0,155,0,898,0,0
2004,Snow,5,0,0,0,0,0,0,0
2004,Storm,33,0,0,0,0,0,0,0
2004,Thunder,1,0,0,0,0,0,0,0
2004,Traffic accident,6,80,0,0,0,64,0,3000
2004,Train accident,2,48,0,0,0,0,0,0
2005,Avalanche,10,7,0,0,0,250,0,0
2005,Earthquake,9,2,0,6935,0,0,0,0
2005,Fire,10,5,0,261,0,0,0,0
2005,Flood,3,0,0,39,0,302,0,0
2005,Fog,6,0,0,0,0,0,0,0
2005,Forest fire,18,0,0,0,0,0,0,2029469115
2005,Frost,13,0,0,0,0,0,0,0
2005,Hail,47,0,0,0,0,422,0,0
2005,Landslide,16,15,73,115,0,293,0,0
2005,Maritime disaster,1,0,0,0,0,11,0,0
2005,Mining accidents,1,18,0,0,0,0,0,0
2005,Nuclear accidents,2,0,0,0,0,0,0,0
2005,Other,1,6,0,0,0,0,0,0
2005,Rockslide,12,0,0,138,0,773,0,0
2005,Storm,14,0,0,0,0,0,0,0
2005,Thunder,5,0,0,0,0,0,0,0
2005,Traffic accident,3,30,0,0,0,38,0,30000
2006,Avalanche,3,1,0,17,0,162,0,0
2006,Earthquake,2,0,0,0,0,0,0,0
2006,Fire,15,15,0,285,0,0,0,0
2006,Flood,7,15,1,882,0,1520,0,58000000
2006,Fog,1,0,0,0,0,0,0,0
2006,Forest fire,33,0,0,0,0,0,0,421468104
2006,Frost,32,2,0,0,0,1742,0,0
2006,Hail,36,0,0,0,0,0,0,0
2006,Landslide,18,0,21,781,0,6814,0,0
2006,Maritime disaster,3,3,0,0,0,31,0,0
2006,Mining accidents,1,17,0,0,0,0,0,0
2006,Rockslide,9,4,16,151,0,1013,0,0
2006,Thunder,7,0,0,0,0,0,0,0
2006,Traffic accident,5,103,0,0,0,0,0,0
2007,Avalanche,8,3,0,0,0,171,0,0
2007,Aviation accident,1,57,0,0,0,0,0,0
2007,Draught,9,0,0,0,0,205,0,0
2007,Earthquake,8,0,195,12651,0,0,0,0
2007,Fire,16,6,0,147,0,0,0,0
2007,Flood,11,15,4,406,0,122,0,0
2007,Forest fire,60,0,0,0,0,0,0,390551446
2007,Frost,10,0,0,0,0,0,0,0
2007,Hail,45,0,0,0,0,0,0,0
2007,Landslide,4,0,0,26,0,210,0,0
2007,Maritime disaster,3,1,0,0,0,44,0,0
2007,Mining accidents,1,1,0,0,0,0,0,0
2007,Rockslide,3,3,0,79,0,124,0,0
2007,Snow,4,0,0,0,0,0,0,0
2007,Storm,98,0,0,0,0,0,0,0
2007,Thunder,3,0,0,0,0,0,0,0
2007,Traffic accident,7,96,0,0,0,138,0,105000
2008,Avalanche,13,6,6,1,0,33,0,0
2008,Draught,7,0,0,0,0,0,0,0
2008,Earthquake,2,0,0,34,0,0,0,0
2008,Fire,13,7,0,193,0,0,0,0
2008,Flood,3,0,2,5,0,151,0,0
2008,Forest fire,23,3,78,8,0,0,0,77558696
2008,Frost,9,0,0,0,0,0,0,0
2008,Hail,26,0,0,0,0,0,0,0
2008,Landslide,7,1,0,0,0,460,0,0
2008,Maritime disaster,3,5,0,0,0,105,0,0
2008,Other,1,18,0,0,0,0,0,0
2008,Rockslide,2,0,0,0,0,555,0,0
2008,Snow,20,0,0,0,0,0,0,0
2008,Storm,138,0,0,0,0,0,0,0
2008,Thunder,4,0,0,0,0,0,0,0
2008,Traffic accident,4,56,0,0,0,46,0,50000
2009,Avalanche,9,13,0,0,0,99,0,0
2009,Draught,2,0,0,0,0,0,0,0
2009,Earthquake,1,0,0,0,0,0,0,0
2009,Fire,13,4,1,54,0,0,0,0
2009,Flood,11,35,64,44,0,307,0,0
2009,Fog,1,0,0,0,0,0,0,0
2009,Forest fire,22,2,0,0,0,0,0,5180916
2009,Frost,6,0,0,0,0,0,0,0
2009,Hail,63,0,0,0,0,0,0,0
2009,Heavy rain,3,3,0,369,0,0,0,127369000
2009,Landslide,12,6,12,54,0,1268,0,0
2009,Maritime disaster,5,0,0,0,0,67,0,0
2009,Mining accidents,1,19,0,0,0,0,0,0
2009,Rockslide,5,3,0,25,0,250,0,0
2009,Snow,2,0,0,0,0,0,0,0
2009,Storm,189,0,0,0,0,0,0,0
2009,Thunder,11,0,0,0,0,3,0,0
2009,Traffic accident,7,30,0,0,0,333,0,406000
2010,Draught,3,0,0,0,0,0,0,0
2010,Earthquake,5,42,0,11632,2777,10014,0,0
2010,Fire,19,14,348,17,0,18,0,0
2010,Flood,13,22,36,18333,0,5,0,0
2010,Fog,7,0,0,0,0,0,0,0
2010,Forest fire,4,0,0,0,0,0,0,22763000
2010,Frost,28,0,0,0,0,37,0,0
2010,Hail,69,0,0,4,0,17,0,0
2010,Heavy rain,11,7,2,52,0,0,0,275000
2010,Landslide,16,2,9,62,0,580,0,0
2010,Maritime disaster,7,1,0,0,0,31,0,70000000
2010,Mining accidents,3,46,0,0,0,4,0,0
2010,Other,14,9,0,0,0,0,0,0
2010,Rockslide,3,0,0,0,0,48,0,0
2010,Snow,7,0,0,0,0,0,0,0
2010,Storm,205,2,0,0,0,0,0,0
2010,Thunder,10,0,0,0,0,0,0,0
2010,Traffic accident,4,33,0,0,0,103,0,60000
2010,Train accident,1,1,0,0,0,700,0,0
2011,Earthquake,4,687,17005,49,0,0,0,0
2011,Fire,25,8,74,20,0,0,0,0
2011,Flood,5,4,4,488,28,0,0,0
2011,Fog,1,0,0,0,0,0,0,0
2011,Hail,19,1,0,0,0,0,0,0
2011,Heavy rain,2,2,1,0,0,0,0,0
2011,Landslide,1,1,0,0,0,0,0,0
2011,Other,4,22,0,171,0,0,0,0
2011,Snow,2,0,0,0,0,0,0,0
2011,Storm,10,0,0,0,0,0,0,0
2011,Thunder,2,1,1,0,0,0,0,0
2011,Traffic accident,3,36,0,0,0,0,0,0
2012,Avalanche,1,1,0,0,0,0,0,0
2012,Drowning,2,3,0,0,0,3,0,0
